Time,mean_cpu_usage_rate,canonical_memory_usage,assigned_memory_usage,total_page_cache_memory_usage,maximum_memory_usage,mean_disk_io_time,mean_local_disk_space_used,maximum_cpu_usage,sampled_cpu_usage
1470,0.171342316,0.176866186,0.221644005,0.052454852,0.184306612,0.035681014,0.000817732,0.644434068,0.097325295
1475,0.166985253,0.163303218,0.204803869,0.048779534,0.170877834,0.036665342,0.000764137,0.615879452,0.09659769
1480,0.212504257,0.158052599,0.197535687,0.046749346,0.166550701,0.040170889,0.000782976,0.70724443,0.149695598
1485,0.202632343,0.173674075,0.218144942,0.051374405,0.181539712,0.042151259,0.000799463,0.69648091,0.125531807
1490,0.197572488,0.168848267,0.211905883,0.050730116,0.177754643,0.041849979,0.000790399,0.670700123,0.126314786
1495,0.197150313,0.191055695,0.239880698,0.055957997,0.19829096,0.040875068,0.000884449,0.716805159,0.114062076
1500,0.174461142,0.163065558,0.204449778,0.048395099,0.171152679,0.037809523,0.000805678,0.671615318,0.110170247
1505,0.166427167,0.168044168,0.211657987,0.050664828,0.175704172,0.028293562,0.000791943,0.629343588,0.096175946
1510,0.175311936,0.165157213,0.207405573,0.048608197,0.172746615,0.031617259,0.000784104,0.637552407,0.105378994
1515,0.181501352,0.159813923,0.200803596,0.04772332,0.168146807,0.034290851,0.000760887,0.671011826,0.117709406
1520,0.16939731,0.163155909,0.204859235,0.048328099,0.172046464,0.038568007,0.000783777,0.649167967,0.105708792
1525,0.165556296,0.16676164,0.208852502,0.050408577,0.173983815,0.03092178,0.000766215,0.60391277,0.099990382
1530,0.1747795,0.168318652,0.210519127,0.051243661,0.175245895,0.029966459,0.000790209,0.640862345,0.112026928
1535,0.182361184,0.169906425,0.212613245,0.052695756,0.177332607,0.043285469,0.000817389,0.670388457,0.119027674
1540,0.198424577,0.166436811,0.206752464,0.051070418,0.174160976,0.039689468,0.000781223,0.689977644,0.13879913
1545,0.188849472,0.171488219,0.213596077,0.052832716,0.17962001,0.037516617,0.000784691,0.677038654,0.123218501
1550,0.175812227,0.16646012,0.208051291,0.050958935,0.173248833,0.035867469,0.000774508,0.669635955,0.110487649
1555,0.163491822,0.162216428,0.203357109,0.048639638,0.168957433,0.043414455,0.000777058,0.646622554,0.104409579
1560,0.156523526,0.160661605,0.201210703,0.047717248,0.16692487,0.045999147,0.000730311,0.633459499,0.098784586
1565,0.164858309,0.154318994,0.19425937,0.044796632,0.162061661,0.04987601,0.000709275,0.69976858,0.103674232
