Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent
3460,23.3227,87.528,34.8339,27.5809,3.4945
3470,20.4601,87.5548,34.8633,27.6019,3.4622
3480,19.2418,87.3058,34.8146,27.5587,3.3045
3490,21.6469,87.2361,34.8277,27.5697,3.3296
3500,18.9953,87.2334,34.8246,27.5688,3.331
3510,18.7768,87.2565,34.8209,27.5637,3.3309
3520,19.6422,87.3093,34.8366,27.5798,3.3342
3530,19.5831,87.2666,34.8304,27.5738,3.3332
3540,19.8677,87.4259,34.8156,27.5539,3.5551
3550,24.1973,87.4564,34.8164,27.5566,3.5777
3560,19.7398,87.4442,34.8171,27.5583,3.5459
3570,19.3304,87.5595,34.8163,27.5569,3.5448
3580,18.9459,87.5665,34.8164,27.5571,3.5448
3590,19.0742,87.4541,34.815,27.5583,3.5493
3600,18.7822,87.615,34.822,27.5668,3.3232
3610,26.2882,87.6029,34.8059,27.5575,3.3019
3620,21.6939,87.7474,34.8352,27.5813,3.3307
3630,23.1885,87.873,34.7758,27.5277,3.3416
3640,23.7821,88.0399,34.7709,27.5277,3.3344
3650,26.1698,88.3507,34.7771,27.5314,3.3282
3660,24.2232,88.427,34.7764,27.5311,4.0322
3670,25.7951,88.631,34.781,27.5339,4.0341
3680,25.0815,88.795,34.7784,27.5296,4.0345
3690,25.2967,88.8127,34.7898,27.5436,4.0455
3700,23.8576,88.8514,34.7824,27.5347,4.0386
3710,23.8321,88.9041,34.7781,27.5301,4.0404
3720,23.7884,89.1051,34.7986,27.5445,3.8998
3730,25.4488,89.2047,34.7812,27.5251,3.8998
3740,24.6169,89.4108,34.7805,27.5228,3.8965
3750,25.3892,89.6766,34.7807,27.5229,3.8965
3760,26.2725,89.8275,34.7822,27.5283,3.8979
3770,25.9165,89.8553,34.8208,27.5592,3.9029
3780,27.2905,90.0143,34.8077,27.5471,3.6292
3790,31.8104,89.8899,34.7909,27.5377,3.7082
3800,28.7233,89.8893,34.8085,27.5503,3.6974
3810,29.3547,90.0212,34.8194,27.5599,3.7003
3820,27.4872,89.9575,34.7552,27.5034,3.7019
3830,25.8233,89.4275,34.7666,27.502,3.7236
3840,26.5819,89.2798,34.7777,27.5129,3.8229
3850,29.8548,89.3271,34.777,27.5123,3.825
3860,27.5788,89.4183,34.8087,27.5418,3.8348
3870,26.9526,89.561,34.7866,27.5244,3.8185
3880,25.945,89.7018,34.7637,27.4996,3.8229
3890,25.7821,89.9833,34.7763,27.5143,3.7909
3900,26.0393,90.226,34.7646,27.5068,3.8789
3910,28.5345,90.2924,34.7496,27.4972,3.8836
3920,26.2919,90.3113,34.7759,27.5184,3.8793
3930,25.3756,90.2599,34.7747,27.5183,3.8797
3940,24.836,90.0031,34.8221,27.5715,3.8818
3950,27.5966,89.737,34.8073,27.5609,3.8814
3960,24.6654,89.6091,34.8057,27.5589,3.4764
3970,25.4532,89.3731,34.8159,27.5671,3.4808
3980,24.0584,89.1356,34.821,27.5819,3.489
3990,23.5114,88.9934,34.8424,27.5929,3.4864
4000,23.7803,88.6694,34.8438,27.5954,3.4838
4010,23.6119,88.6289,34.844,27.5963,3.4847
4020,22.4991,88.5275,34.8601,27.6103,3.6285
4030,23.6032,88.2402,34.8518,27.6028,3.616
4040,21.815,88.174,34.8722,27.6197,3.6211
4050,23.5089,88.2369,34.8763,27.6263,3.6342
4060,24.7544,88.1763,34.9071,27.6524,3.6411
4070,23.4212,88.014,34.8882,27.6365,3.6346
4080,24.9333,88.1326,34.894,27.6414,4.3274
4090,27.4371,87.9029,34.9164,27.6553,4.324
4100,24.5298,87.7813,34.9243,27.6614,4.2898
4110,23.4281,87.4653,34.9042,27.6428,4.3218
4120,22.4647,87.2387,34.8946,27.648,4.3361
4130,23.9115,87.0532,34.9053,27.6546,4.3308
4140,21.4345,86.9535,34.9097,27.6622,4.0671
4150,22.73,86.8919,34.9189,27.6745,4.0731
4160,20.2192,86.8019,34.9074,27.6712,4.0836
4170,20.7706,86.9054,34.9219,27.6695,4.1133
4180,20.3384,86.7103,34.9169,27.6824,4.0987
4190,23.8286,86.5966,34.9187,27.6784,4.0896
4200,20.7332,86.5463,34.9189,27.6701,3.4962
4210,23.142,86.4387,34.9028,27.6579,3.4894
4220,20.119,86.4006,34.9063,27.6611,3.4908
4230,23.1052,86.6822,34.903,27.658,3.4894
4240,24.7859,86.6514,34.921,27.6723,3.4917
4250,23.7938,86.5187,34.9221,27.6746,3.4939
4260,22.5564,86.3344,34.9217,27.6688,3.7644
4270,24.7635,86.1178,34.912,27.6644,3.7841
4280,19.0704,86.0397,34.9065,27.6585,3.7803
4290,18.067,85.924,34.9076,27.6595,3.781
4300,16.8855,85.7495,34.9079,27.6594,3.7797
4310,17.2624,85.7237,34.9045,27.6588,3.7823
4320,16.6048,85.6871,34.8982,27.6543,3.7895
4330,18.804,85.5817,34.8969,27.6527,3.8184
4340,18.1519,85.488,34.8873,27.645,3.8226
4350,16.7718,85.4352,34.8827,27.6461,3.8291
4360,19.1949,85.6505,34.8849,27.6451,3.8243
4370,19.2533,85.9329,34.8789,27.6363,3.7935
4380,17.8621,85.9031,34.8742,27.6364,3.7777
4390,22.4545,85.8679,34.894,27.6514,3.7838
